2026-02-15 00:00:21,876 - INFO - Using device: cuda
2026-02-15 00:00:22,095 - INFO - Using FP16 precision for training
2026-02-15 00:00:24,281 - INFO - Training for 100 epochs...
Epochs:   0%|          | 0/100 [00:00<?, ?it/s]2026-02-15 00:00:27,048 - DEBUG - Step 1, Step loss = 0.0038, Image loss = 0.0038, Grad loss = 0.0000
2026-02-15 00:05:19,860 - DEBUG - Step 71, Step loss = nan, Image loss = 0.0203, Grad loss = nan
2026-02-15 00:05:21,582 - DEBUG - Step 72, Step loss = nan, Image loss = 0.0207, Grad loss = nan
2026-02-15 00:05:23,304 - DEBUG - Step 73, Step loss = nan, Image loss = 0.0206, Grad loss = nan
2026-02-15 00:05:25,017 - DEBUG - Step 74, Step loss = nan, Image loss = 0.0213, Grad loss = nan
2026-02-15 00:05:26,731 - DEBUG - Step 75, Step loss = nan, Image loss = 0.0200, Grad loss = nan
2026-02-15 00:05:28,441 - DEBUG - Step 76, Step loss = nan, Image loss = 0.0193, Grad loss = nan
2026-02-15 00:05:30,146 - DEBUG - Step 77, Step loss = nan, Image loss = 0.0204, Grad loss = nan
2026-02-15 00:05:31,859 - DEBUG - Step 78, Step loss = nan, Image loss = 0.0199, Grad loss = nan
2026-02-15 00:05:33,572 - DEBUG - Step 79, Step loss = nan, Image loss = 0.0200, Grad loss = nan
2026-02-15 00:05:35,284 - DEBUG - Step 80, Step loss = nan, Image loss = 0.0211, Grad loss = nan
2026-02-15 00:05:37,013 - DEBUG - Step 81, Step loss = nan, Image loss = 0.0198, Grad loss = nan
2026-02-15 00:05:38,715 - DEBUG - Step 82, Step loss = nan, Image loss = 0.0209, Grad loss = nan
2026-02-15 00:05:40,411 - DEBUG - Step 83, Step loss = nan, Image loss = 0.0211, Grad loss = nan
2026-02-15 00:05:42,121 - DEBUG - Step 84, Step loss = nan, Image loss = 0.0202, Grad loss = nan
2026-02-15 00:05:43,823 - DEBUG - Step 85, Step loss = nan, Image loss = 0.0206, Grad loss = nan
2026-02-15 00:05:45,525 - DEBUG - Step 86, Step loss = nan, Image loss = 0.0206, Grad loss = nan
2026-02-15 00:05:47,238 - DEBUG - Step 87, Step loss = nan, Image loss = 0.0211, Grad loss = nan
2026-02-15 00:05:48,946 - DEBUG - Step 88, Step loss = nan, Image loss = 0.0201, Grad loss = nan
2026-02-15 00:05:50,680 - DEBUG - Step 89, Step loss = nan, Image loss = 0.0207, Grad loss = nan
2026-02-15 00:05:52,392 - DEBUG - Step 90, Step loss = nan, Image loss = 0.0206, Grad loss = nan
2026-02-15 00:05:54,107 - DEBUG - Step 91, Step loss = nan, Image loss = 0.0215, Grad loss = nan
2026-02-15 00:05:55,810 - DEBUG - Step 92, Step loss = nan, Image loss = 0.0199, Grad loss = nan
2026-02-15 00:05:57,596 - DEBUG - Step 93, Step loss = nan, Image loss = 0.0200, Grad loss = nan
2026-02-15 00:05:59,292 - DEBUG - Step 94, Step loss = nan, Image loss = 0.0187, Grad loss = nan
2026-02-15 00:06:00,997 - DEBUG - Step 95, Step loss = nan, Image loss = 0.0197, Grad loss = nan
2026-02-15 00:06:02,714 - DEBUG - Step 96, Step loss = nan, Image loss = 0.0208, Grad loss = nan
2026-02-15 00:06:04,414 - DEBUG - Step 97, Step loss = nan, Image loss = 0.0197, Grad loss = nan
2026-02-15 00:06:06,123 - DEBUG - Step 98, Step loss = nan, Image loss = 0.0197, Grad loss = nan
2026-02-15 00:06:07,834 - DEBUG - Step 99, Step loss = nan, Image loss = 0.0215, Grad loss = nan
2026-02-15 00:06:09,561 - DEBUG - Step 100, Step loss = nan, Image loss = 0.0204, Grad loss = nan
2026-02-15 00:06:09,561 - INFO - Epoch 2/100, Loss: nan
Epochs:   2%|▏         | 2/100 [05:45<4:41:39, 172.44s/it]2026-02-15 00:06:11,253 - DEBUG - Step 1, Step loss = nan, Image loss = 0.0198, Grad loss = nan
2026-02-15 00:06:12,960 - DEBUG - Step 2, Step loss = nan, Image loss = 0.0191, Grad loss = nan
2026-02-15 00:06:14,686 - DEBUG - Step 3, Step loss = nan, Image loss = 0.0204, Grad loss = nan
2026-02-15 00:06:16,388 - DEBUG - Step 4, Step loss = nan, Image loss = 0.0195, Grad loss = nan
2026-02-15 00:06:18,092 - DEBUG - Step 5, Step loss = nan, Image loss = 0.0195, Grad loss = nan
2026-02-15 00:06:19,790 - DEBUG - Step 6, Step loss = nan, Image loss = 0.0207, Grad loss = nan
2026-02-15 00:06:21,512 - DEBUG - Step 7, Step loss = nan, Image loss = 0.0205, Grad loss = nan
2026-02-15 00:06:23,224 - DEBUG - Step 8, Step loss = nan, Image loss = 0.0214, Grad loss = nan
2026-02-15 00:06:24,941 - DEBUG - Step 9, Step loss = nan, Image loss = 0.0193, Grad loss = nan
2026-02-15 00:06:26,640 - DEBUG - Step 10, Step loss = nan, Image loss = 0.0197, Grad loss = nan
2026-02-15 00:06:28,346 - DEBUG - Step 11, Step loss = nan, Image loss = 0.0205, Grad loss = nan
2026-02-15 00:06:30,047 - DEBUG - Step 12, Step loss = nan, Image loss = 0.0198, Grad loss = nan
2026-02-15 00:06:31,781 - DEBUG - Step 13, Step loss = nan, Image loss = 0.0211, Grad loss = nan
2026-02-15 00:06:33,473 - DEBUG - Step 14, Step loss = nan, Image loss = 0.0198, Grad loss = nan
2026-02-15 00:06:35,173 - DEBUG - Step 15, Step loss = nan, Image loss = 0.0206, Grad loss = nan
2026-02-15 00:06:36,872 - DEBUG - Step 16, Step loss = nan, Image loss = 0.0204, Grad loss = nan
2026-02-15 00:06:38,585 - DEBUG - Step 17, Step loss = nan, Image loss = 0.0200, Grad loss = nan
2026-02-15 00:06:40,296 - DEBUG - Step 18, Step loss = nan, Image loss = 0.0212, Grad loss = nan
2026-02-15 00:06:42,009 - DEBUG - Step 19, Step loss = nan, Image loss = 0.0210, Grad loss = nan
2026-02-15 00:06:43,720 - DEBUG - Step 20, Step loss = nan, Image loss = 0.0193, Grad loss = nan
2026-02-15 00:06:45,420 - DEBUG - Step 21, Step loss = nan, Image loss = 0.0195, Grad loss = nan
2026-02-15 00:06:47,144 - DEBUG - Step 22, Step loss = nan, Image loss = 0.0204, Grad loss = nan
2026-02-15 00:06:48,863 - DEBUG - Step 23, Step loss = nan, Image loss = 0.0208, Grad loss = nan
2026-02-15 00:06:50,560 - DEBUG - Step 24, Step loss = nan, Image loss = 0.0205, Grad loss = nan
2026-02-15 00:06:52,280 - DEBUG - Step 25, Step loss = nan, Image loss = 0.0208, Grad loss = nan
2026-02-15 00:06:53,990 - DEBUG - Step 26, Step loss = nan, Image loss = 0.0207, Grad loss = nan
2026-02-15 00:06:55,707 - DEBUG - Step 27, Step loss = nan, Image loss = 0.0207, Grad loss = nan
2026-02-15 00:06:57,499 - DEBUG - Step 28, Step loss = nan, Image loss = 0.0209, Grad loss = nan
2026-02-15 00:06:59,232 - DEBUG - Step 29, Step loss = nan, Image loss = 0.0206, Grad loss = nan
2026-02-15 00:07:00,951 - DEBUG - Step 30, Step loss = nan, Image loss = 0.0210, Grad loss = nan
2026-02-15 00:07:02,678 - DEBUG - Step 31, Step loss = nan, Image loss = 0.0207, Grad loss = nan
2026-02-15 00:07:04,392 - DEBUG - Step 32, Step loss = nan, Image loss = 0.0199, Grad loss = nan
2026-02-15 00:07:06,120 - DEBUG - Step 33, Step loss = nan, Image loss = 0.0201, Grad loss = nan
2026-02-15 00:07:07,826 - DEBUG - Step 34, Step loss = nan, Image loss = 0.0203, Grad loss = nan
2026-02-15 00:07:09,549 - DEBUG - Step 35, Step loss = nan, Image loss = 0.0204, Grad loss = nan
2026-02-15 00:07:11,256 - DEBUG - Step 36, Step loss = nan, Image loss = 0.0199, Grad loss = nan
